id,offset,accuracy,accuracy_index,answer,behind_beat,track_id,track_name,track_random_intercept,track_random_slope,difficulty_with_track_effect,difficulty_without_track_effect,discrimination,guessing,inattention,file_name
37,-0.159924145,0.59,19,1,FALSE,1,boabab,-2.593740662,1.8063247,0.193476063,-1.116994854,1.166,0.5,1,37_1_-0.1599_beep_boabab.mp3
38,-0.159924145,0.59,19,2,FALSE,1,boabab,-2.593740662,1.8063247,0.193476063,-1.116994854,1.166,0.5,1,38_2_-0.1599_beep_boabab.mp3
39,-0.158696318,0.595,20,1,FALSE,1,boabab,-2.593740662,1.8063247,0.221954945,-1.080770154,1.166,0.5,1,39_1_-0.1587_beep_boabab.mp3
40,-0.158696318,0.595,20,2,FALSE,1,boabab,-2.593740662,1.8063247,0.221954945,-1.080770154,1.166,0.5,1,40_2_-0.1587_beep_boabab.mp3
41,-0.157467527,0.6,21,1,FALSE,1,boabab,-2.593740662,1.8063247,0.250433827,-1.044545455,1.166,0.5,1,41_1_-0.1575_beep_boabab.mp3
42,-0.157467527,0.6,21,2,FALSE,1,boabab,-2.593740662,1.8063247,0.250433827,-1.044545455,1.166,0.5,1,42_2_-0.1575_beep_boabab.mp3
43,-0.156237618,0.605,22,1,FALSE,1,boabab,-2.593740662,1.8063247,0.278912709,-1.008320755,1.166,0.5,1,43_1_-0.1562_beep_boabab.mp3
44,-0.156237618,0.605,22,2,FALSE,1,boabab,-2.593740662,1.8063247,0.278912709,-1.008320755,1.166,0.5,1,44_2_-0.1562_beep_boabab.mp3
45,-0.155006435,0.61,23,1,FALSE,1,boabab,-2.593740662,1.8063247,0.307391591,-0.972096055,1.166,0.5,1,45_1_-0.155_beep_boabab.mp3
46,-0.155006435,0.61,23,2,FALSE,1,boabab,-2.593740662,1.8063247,0.307391591,-0.972096055,1.166,0.5,1,46_2_-0.155_beep_boabab.mp3
47,-0.153773822,0.615,24,1,FALSE,1,boabab,-2.593740662,1.8063247,0.335870473,-0.935871355,1.166,0.5,1,47_1_-0.1538_beep_boabab.mp3
48,-0.153773822,0.615,24,2,FALSE,1,boabab,-2.593740662,1.8063247,0.335870473,-0.935871355,1.166,0.5,1,48_2_-0.1538_beep_boabab.mp3
49,-0.152539618,0.62,25,1,FALSE,1,boabab,-2.593740662,1.8063247,0.364349355,-0.899646655,1.166,0.5,1,49_1_-0.1525_beep_boabab.mp3
50,-0.152539618,0.62,25,2,FALSE,1,boabab,-2.593740662,1.8063247,0.364349355,-0.899646655,1.166,0.5,1,50_2_-0.1525_beep_boabab.mp3
51,-0.151303662,0.625,25,1,FALSE,1,boabab,-2.593740662,1.8063247,0.392828237,-0.863421955,1.166,0.5,1,51_1_-0.1513_beep_boabab.mp3
52,-0.151303662,0.625,25,2,FALSE,1,boabab,-2.593740662,1.8063247,0.392828237,-0.863421955,1.166,0.5,1,52_2_-0.1513_beep_boabab.mp3
53,-0.150065788,0.63,24,1,FALSE,1,boabab,-2.593740662,1.8063247,0.421307119,-0.827197256,1.166,0.5,1,53_1_-0.1501_beep_boabab.mp3
54,-0.150065788,0.63,24,2,FALSE,1,boabab,-2.593740662,1.8063247,0.421307119,-0.827197256,1.166,0.5,1,54_2_-0.1501_beep_boabab.mp3
55,-0.14882583,0.635,23,1,FALSE,1,boabab,-2.593740662,1.8063247,0.449786001,-0.790972556,1.166,0.5,1,55_1_-0.1488_beep_boabab.mp3
56,-0.14882583,0.635,23,2,FALSE,1,boabab,-2.593740662,1.8063247,0.449786001,-0.790972556,1.166,0.5,1,56_2_-0.1488_beep_boabab.mp3
57,-0.147583618,0.64,22,1,FALSE,1,boabab,-2.593740662,1.8063247,0.478264884,-0.754747856,1.166,0.5,1,57_1_-0.1476_beep_boabab.mp3
58,-0.147583618,0.64,22,2,FALSE,1,boabab,-2.593740662,1.8063247,0.478264884,-0.754747856,1.166,0.5,1,58_2_-0.1476_beep_boabab.mp3
59,-0.146338976,0.645,21,1,FALSE,1,boabab,-2.593740662,1.8063247,0.506743766,-0.718523156,1.166,0.5,1,59_1_-0.1463_beep_boabab.mp3
60,-0.146338976,0.645,21,2,FALSE,1,boabab,-2.593740662,1.8063247,0.506743766,-0.718523156,1.166,0.5,1,60_2_-0.1463_beep_boabab.mp3
61,-0.145091728,0.65,20,1,FALSE,1,boabab,-2.593740662,1.8063247,0.535222648,-0.682298456,1.166,0.5,1,61_1_-0.1451_beep_boabab.mp3
62,-0.145091728,0.65,20,2,FALSE,1,boabab,-2.593740662,1.8063247,0.535222648,-0.682298456,1.166,0.5,1,62_2_-0.1451_beep_boabab.mp3
63,-0.143841693,0.655,19,1,FALSE,1,boabab,-2.593740662,1.8063247,0.56370153,-0.646073756,1.166,0.5,1,63_1_-0.1438_beep_boabab.mp3
